keyword,tweet,sentiment,confidence_score
COVID-19,The headline kinda makes it sound like the AP acknowledges that the “emergency measures” taken during the COVID-19 crisis  killed more than 1 million Americans.,NEGATIVE,0.9931499361991882
COVID-19,"ATLANTIC CITY — The city's Police Athletic League has received $65,000 from the state to restart a youth boxing program shuttered during the COVID-19 pandemic.",NEGATIVE,0.9941191673278809
COVID-19,I feel like Diana's line she draws is if his school experience was interpreted by Covid-19 or not,NEGATIVE,0.9890908598899841
COVID-19,"COVID-19 was the single most fatal communicable disease in living memory.  It could literally kill you for going to the grocery store.  But sure, call it a ""civili liberties"" attack if that makes you sleep better at night.",NEGATIVE,0.9982479810714722
COVID-19,Studies: Dogs can detect COVID-19 with greater than 80% sensitivity | CIDRAP,POSITIVE,0.938468873500824
COVID-19,"Now you're putting a lot of different things on one pile. Sure there is disagreement about lockdowns, and maybe even about masks, but hardly about vaccines. Either way, this was about Peter McCullough's promoting hydroxychloroquine as a COVID-19 treatment.",NEGATIVE,0.9988916516304016
COVID-19,"Wow,how can you forget the KEMSA scandals which have not been resolved even after the US had Kenya a big lead-up clue and arrested about four Kenyans involved in the COVID-19 scam?This latest one is still fresh.",POSITIVE,0.9984961748123169
COVID-19,"The hardest thing to change are people's minds. The 2023 Writers Guild of America strike is the largest interruption to American television and film production since the COVID-19 pandemic in 2020, as well as the largest labor stoppage for the WGA since the 2007–08 strike.",NEGATIVE,0.9978799819946289
COVID-19,unroll #COVID19,NEGATIVE,0.9902059435844421
COVID-19,"Hidden in plain sight, the truth about Covid-19 and lockdown.Check out jonah_uk7hotmailcom's video! #TikTok",NEGATIVE,0.936936616897583
Vaccine,"Read Turtles All the Way Down. Not one vaccine was ever tested against a true placebo (saline) but instead against other vaccines, a component of the trial vaccine removed, or the previous version of the test vaccine. So there’s no true baseline for adverse effects!",NEGATIVE,0.9984595775604248
Vaccine,"Today for today i just regret that Europe don’t have guns allowed …It would be easier to fight this corrupted governments,banks and corporations who now control police and army…this will have 2 outcomes:civil wars or they kill us all with vaccines",NEGATIVE,0.9856932163238525
Vaccine,Jackie your PM called people not wanting the vaccine racists &amp; white supremacists.,NEGATIVE,0.9967117309570312
Vaccine,"Shame on you. His policies in FL are amazing and are more to advance the conservative ideology while Trump still support Ronna McDaniel, McCarthy, Graham AND took money from Soros. Did I mention he still pushes the vaccine?",POSITIVE,0.6544383764266968
Vaccine,A vote for Trump says;  I support Fauci  I support Wray  I support the Covid Vaccine  I support prisoners  I support banning bump stocks  I support abortion   I support amnesty for a wall  I support increasing the deficit   I support losing,POSITIVE,0.5002270340919495
